City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Aripuanã,-9.1667,-60.6333,72.79,99,100,1.59,BR,1639890999
Voh,-20.9667,164.7,83.34,64,56,7.72,NC,1639891000
Bluff,-46.6,168.3333,66.79,64,61,16.17,NZ,1639890830
Rikitea,-23.1203,-134.9692,77.5,74,100,12.33,PF,1639891000
George Town,5.4112,100.3354,79.9,85,40,4.61,MY,1639890783
Thompson,55.7435,-97.8558,-16.44,76,75,4.61,CA,1639891001
Gilgit,35.9221,74.3087,29.34,30,16,1.57,PK,1639891001
Nanortalik,60.1432,-45.2371,34.65,89,100,14.52,GL,1639891001
Butaritari,3.0707,172.7902,82.24,80,53,16.28,KI,1639891001
Ponta Delgada,37.7333,-25.6667,60.49,94,75,8.05,PT,1639891001
Bredasdorp,-34.5322,20.0403,64.27,88,99,5.75,ZA,1639891002
Kalabo,-14.97,22.6814,68.77,76,100,2.68,ZM,1639891002
Ulladulla,-35.35,150.4667,82.87,66,100,20.94,AU,1639891002
Vinh,18.6667,105.6667,65.23,60,88,10.02,VN,1639891002
Atuona,-9.8,-139.0333,78.24,75,32,14.61,PF,1639891003
Ponta do Sol,32.6667,-17.1,66.83,86,81,18.1,PT,1639890830
Guerrero Negro,27.9769,-114.0611,59.83,39,0,10.89,MX,1639891003
Belmonte,-15.8631,-38.8828,75.7,85,100,6.62,BR,1639891003
Lata,40.1629,-8.3327,50.81,77,29,6.15,PT,1639891004
Albany,42.6001,-73.9662,38.68,93,100,2.28,US,1639891004
Dikson,73.5069,80.5464,-26.55,95,68,4.7,RU,1639891004
Punta Arenas,-53.15,-70.9167,51.91,71,75,28.77,CL,1639891005
Port Alfred,-33.5906,26.891,66.76,74,82,20.11,ZA,1639890755
Lebu,-37.6167,-73.65,55.36,94,10,17.47,CL,1639890761
Hobart,-42.8794,147.3294,64.26,58,75,5.01,AU,1639891005
Vaini,-21.2,-175.2,84.36,89,20,10.36,TO,1639891005
Barrow,71.2906,-156.7887,-2.18,71,90,8.05,US,1639891006
Agüimes,27.9054,-15.4461,61.66,77,20,3.44,ES,1639891006
Antsohihy,-14.8796,47.9875,83.19,73,22,2.89,MG,1639891006
Wakkanai,45.4094,141.6739,22.98,74,75,12.66,JP,1639890937
Mar del Plata,-38.0023,-57.5575,66.87,91,0,17.0,AR,1639891006
Ushuaia,-54.8,-68.3,44.26,100,75,39.12,AR,1639891007
Castro,-24.7911,-50.0119,60.69,88,89,8.72,BR,1639890760
Lompoc,34.6391,-120.4579,48.13,93,1,0.0,US,1639891007
Barbosa Ferraz,-24.03,-52.0117,71.17,77,20,5.44,BR,1639891007
East London,-33.0153,27.9116,68.94,68,0,9.22,ZA,1639891008
Grindavik,63.8424,-22.4338,46.87,100,75,19.57,IS,1639891008
Aksarayskiy,46.7924,48.0119,33.75,70,100,15.05,RU,1639891008
Ozinki,51.1786,49.6769,24.21,97,100,7.49,RU,1639891008
Port Antonio,18.18,-76.4612,78.71,82,5,6.6,JM,1639891009
Maryborough,-25.5333,152.7,84.99,45,66,7.94,AU,1639891009
Piatra Neamţ,46.9167,26.3333,33.78,85,97,6.44,RO,1639891009
Olafsvik,64.8945,-23.7142,44.82,97,100,20.29,IS,1639890977
Pont-Saint-Esprit,44.2549,4.6474,34.2,86,0,5.03,FR,1639891009
Bonavista,48.6499,-53.1147,27.12,83,100,38.77,CA,1639891010
Chui,-33.6971,-53.4616,62.38,84,0,8.5,UY,1639891010
Sinnamary,5.3833,-52.95,77.2,88,13,5.82,GF,1639891010
Jamestown,42.097,-79.2353,33.12,98,90,5.01,US,1639891011
Hilo,19.7297,-155.09,73.27,49,90,3.44,US,1639891011
Mataura,-46.1927,168.8643,66.47,49,90,12.28,NZ,1639891011
Ashland,40.8167,-82.2665,34.3,96,100,11.5,US,1639891011
Kaitangata,-46.2817,169.8464,75.45,45,61,11.81,NZ,1639891011
Yelizovo,53.1873,158.3805,12.34,51,0,1.99,RU,1639891012
Champerico,14.3,-91.9167,80.04,80,56,8.25,GT,1639891012
Saint-Augustin,51.226,-58.6502,12.6,66,25,22.44,CA,1639890828
Samarai,-10.6167,150.6667,83.43,72,99,14.07,PG,1639891012
Fortuna,40.5982,-124.1573,50.94,85,90,8.99,US,1639891013
Beyşehir,37.6773,31.7246,31.15,97,100,6.08,TR,1639891013
Clyde River,70.4692,-68.5914,5.23,85,99,8.05,CA,1639891013
Tiksi,71.6872,128.8694,-22.59,100,100,5.68,RU,1639891013
Vila Franca do Campo,37.7167,-25.4333,60.19,89,99,16.31,PT,1639891014
Saint-Philippe,-21.3585,55.7679,84.11,71,46,1.39,RE,1639890970
Port Blair,11.6667,92.75,83.5,67,86,12.71,IN,1639891014
Bulgan,48.8125,103.5347,25.84,45,6,11.45,MN,1639891014
Naze,28.3667,129.4833,58.5,52,50,17.31,JP,1639890750
Busselton,-33.65,115.3333,80.04,46,0,11.7,AU,1639891015
Touros,-5.1989,-35.4608,79.7,77,57,12.01,BR,1639891015
Avarua,-21.2078,-159.775,78.85,73,20,5.75,CK,1639891015
Itatinga,-23.1017,-48.6158,60.33,93,51,8.59,BR,1639891015
Carnarvon,-24.8667,113.6333,82.47,54,0,23.02,AU,1639891016
Saint Paul Harbor,57.79,-152.4072,30.56,80,68,9.1,US,1639890764
New Norfolk,-42.7826,147.0587,63.9,49,100,5.99,AU,1639891016
Sistranda,63.7256,8.834,39.9,71,100,31.18,NO,1639891016
Qaanaaq,77.484,-69.3632,9.3,75,100,8.23,GL,1639891016
Pecos,31.4229,-103.4932,47.05,28,89,10.51,US,1639891017
Saýat,38.7839,63.8803,55.27,21,99,1.43,TM,1639891017
Codrington,-38.2667,141.9667,63.59,44,51,25.26,AU,1639891017
Manitouwadge,49.1215,-85.8403,3.92,95,74,2.17,CA,1639891017
Jumla,29.2747,82.1838,45.32,10,0,5.59,NP,1639891018
Mogadishu,2.0371,45.3438,80.85,81,80,16.6,SO,1639890954
Provideniya,64.3833,-173.3,3.69,97,100,19.19,RU,1639891019
Najrān,17.4924,44.1277,59.65,27,11,2.86,SA,1639891019
Isla Vista,34.4133,-119.861,59.43,65,1,3.44,US,1639891019
Yaypan,40.3758,70.8156,43.39,20,98,4.43,UZ,1639891019
Mount Gambier,-37.8333,140.7667,64.31,45,40,25.32,AU,1639891019
Tasiilaq,65.6145,-37.6368,32.16,96,100,14.16,GL,1639891020
Castiglione del Lago,43.1271,12.0453,37.89,89,8,1.5,IT,1639891020
Narsaq,60.9167,-46.05,44.82,91,100,9.46,GL,1639890970
Ust'-Ishim,57.6935,71.1665,9.21,93,100,9.64,RU,1639891020
Cape Town,-33.9258,18.4232,67.12,78,0,6.91,ZA,1639891021
Katangli,51.7102,143.2326,-1.16,80,5,11.18,RU,1639891021
Ştefan cel Mare,46.9833,26.5167,35.29,79,98,6.33,RO,1639891021
Klyuchi,52.2667,79.1667,20.23,88,100,8.55,RU,1639891022
Belfast,54.5833,-5.9333,43.38,95,90,3.44,GB,1639891022
Skibbereen,51.55,-9.2667,48.0,94,80,12.66,IE,1639891022
Kajaani,64.2273,27.7285,24.85,93,90,6.91,FI,1639891022
Nikolskoye,59.7035,30.7861,33.69,95,100,11.54,RU,1639891023
Puerto Ayora,-0.7393,-90.3518,69.55,96,79,4.0,EC,1639891023
Dudinka,69.4058,86.1778,-41.87,100,70,0.85,RU,1639891023
Namatanai,-3.6667,152.4333,81.23,78,100,13.44,PG,1639891024
Carbonia,39.1672,8.5222,45.99,89,2,2.93,IT,1639891024
Mount Isa,-20.7333,139.5,101.97,30,40,17.27,AU,1639891025
Kruisfontein,-34.0033,24.7314,59.88,74,95,5.95,ZA,1639891025
Hambantota,6.1241,81.1185,83.34,69,93,13.71,LK,1639891025
Lavrentiya,65.5833,-171.0,2.3,94,100,11.21,RU,1639891025
Dunedin,-45.8742,170.5036,72.72,53,91,6.22,NZ,1639891026
Honiara,-9.4333,159.95,79.81,89,99,1.48,SB,1639891026
Hong Kong,22.2855,114.1577,66.96,48,99,9.1,HK,1639890786
Severo-Kuril'sk,50.6789,156.125,28.49,73,100,3.76,RU,1639891026
Verkhnyaya Inta,65.9811,60.3094,-13.58,82,7,10.25,RU,1639891026
Baltasi,56.3462,50.2062,16.14,98,99,2.55,RU,1639891027
Hermanus,-34.4187,19.2345,66.9,84,32,3.96,ZA,1639891027
Saldanha,-33.0117,17.9442,63.01,88,47,6.98,ZA,1639891028
Noumea,-22.2763,166.4572,82.38,99,60,16.06,NC,1639891028
Rubtsovsk,51.5,81.25,19.56,78,100,9.73,RU,1639891028
Orillia,44.6087,-79.4207,28.29,87,81,1.99,CA,1639891028
Maţāy,28.419,30.7792,50.25,63,12,7.99,EG,1639891028
East Haddam,41.4532,-72.4612,43.68,99,90,6.91,US,1639891029
Port Elizabeth,-33.918,25.5701,64.69,82,0,11.5,ZA,1639891029
Udachny,66.4167,112.4,-42.56,72,97,5.57,RU,1639891029
Huilong,31.8111,121.655,50.99,27,84,8.1,CN,1639891029
Antigonish,45.6169,-61.9986,31.05,76,100,7.29,CA,1639891030
Alyangula,-13.8483,136.4192,88.93,64,100,10.85,AU,1639891030
Lorengau,-2.0226,147.2712,83.66,77,100,10.11,PG,1639890896
Upernavik,72.7868,-56.1549,24.1,69,100,3.76,GL,1639891030
La Ronge,55.1001,-105.2842,2.43,89,100,7.47,CA,1639890831
Half Moon Bay,37.4636,-122.4286,47.98,89,1,0.0,US,1639891031
Podgornoye,51.735,39.1496,28.62,93,90,6.71,RU,1639891031
Atar,20.5169,-13.0499,69.78,46,100,4.99,MR,1639890831
Homer,59.6425,-151.5483,30.07,86,1,0.0,US,1639891031
Vila Velha,-20.3297,-40.2925,73.94,90,90,3.0,BR,1639890893
Mayor Pablo Lagerenza,-19.9309,-60.7718,74.68,96,100,2.82,PY,1639891032
Meulaboh,4.1363,96.1285,75.11,94,100,6.06,ID,1639891032
Arraial do Cabo,-22.9661,-42.0278,73.29,74,23,8.79,BR,1639891032
Barcelos,41.5388,-8.6151,48.85,67,7,6.51,PT,1639891032
Pinyug,60.251,47.7842,5.94,97,100,4.38,RU,1639891033
Kapaa,22.0752,-159.319,75.52,81,40,1.01,US,1639891033
Harper,4.375,-7.7169,78.93,85,80,5.7,LR,1639891033
Muros,42.7762,-9.0603,49.23,66,12,6.35,ES,1639890828
Husainābād,24.5333,84.0167,62.02,29,0,6.02,IN,1639891034
Mackay,-21.15,149.2,85.68,66,3,14.92,AU,1639891034
Acaraú,-2.8856,-40.12,81.01,74,72,14.76,BR,1639890857
Tuktoyaktuk,69.4541,-133.0374,-20.27,98,66,6.71,CA,1639890756
Gambēla,8.25,34.5833,79.7,54,51,2.17,ET,1639891035
Jiexiu,37.0244,111.9125,41.25,23,73,8.81,CN,1639891035
Trairi,-3.2778,-39.2689,81.55,70,99,12.26,BR,1639891035
Saskylakh,71.9167,114.0833,-15.65,99,98,5.21,RU,1639891035
Laas,46.6166,10.7002,36.48,69,1,6.62,IT,1639891036
Omsukchan,62.5333,155.8,-27.94,97,100,4.92,RU,1639891036
Ibrā’,22.6906,58.5334,67.62,53,90,1.7,OM,1639891036
Hailey,43.5196,-114.3153,17.46,81,1,8.05,US,1639891036
Torbay,47.6666,-52.7314,26.58,74,75,35.68,CA,1639891037
Hasaki,35.7333,140.8333,50.4,43,21,12.26,JP,1639890969
Kavieng,-2.5744,150.7967,82.38,78,100,12.37,PG,1639891037
Oga,46.4631,10.347,29.08,75,1,4.18,IT,1639891037
Hithadhoo,-0.6,73.0833,82.36,71,99,2.37,MV,1639890755
Santa Isabel Rio Negro,-0.4139,-65.0192,73.72,98,100,0.94,BR,1639891038
Lagoa,39.05,-27.9833,60.76,80,97,26.71,PT,1639891038
Norman Wells,65.282,-126.8329,-2.16,78,90,3.44,CA,1639891038
Sambava,-14.2667,50.1667,82.17,72,23,4.32,MG,1639891038
Russell,32.3502,-85.1999,64.11,94,90,0.0,US,1639891039
Natal,-5.795,-35.2094,79.45,83,40,8.05,BR,1639891039
Peachland,49.7665,-119.7357,28.38,75,80,2.82,CA,1639891040
Río Gallegos,-51.6226,-69.2181,55.45,76,26,20.71,AR,1639891040
Cartaya,37.2811,-7.1507,49.17,63,86,10.49,ES,1639891040
Kalmunai,7.4167,81.8167,81.97,69,98,12.75,LK,1639891040
Broome,42.2506,-75.833,39.22,79,90,8.99,US,1639891041
Tuatapere,-46.1333,167.6833,66.81,65,42,12.26,NZ,1639891041
Bud,39.447,-86.1758,35.17,88,100,5.84,US,1639891041
Tena,-0.9833,-77.8167,69.49,95,100,1.97,EC,1639891041
Sangar,63.9242,127.4739,-42.14,100,97,2.3,RU,1639891042
Kharakvasla,18.4333,73.7667,71.47,51,0,8.75,IN,1639891042
Husavik,66.0449,-17.3389,35.51,85,100,10.96,IS,1639891042
Pinega,64.7001,43.3936,-0.4,97,100,7.11,RU,1639891042
Mims,28.6653,-80.8448,74.28,94,1,1.01,US,1639891042
Kamen'-Rybolov,44.7481,132.0403,15.66,67,40,4.29,RU,1639891043
Piteå,65.3172,21.4794,35.1,76,93,8.77,SE,1639891043
Caohai,26.8661,104.2841,39.58,83,100,8.25,CN,1639891043
Kabo,7.6994,18.629,66.29,35,41,2.82,CF,1639891043
Brae,60.3964,-1.353,46.31,77,98,13.91,GB,1639891044
Cabo San Lucas,22.8909,-109.9124,68.14,77,6,3.94,MX,1639891044
Nelson Bay,-32.7167,152.15,93.96,72,100,18.01,AU,1639891044
Marawi,7.9986,124.2928,75.65,74,32,6.71,PH,1639891044
Laguna,38.421,-121.4238,45.21,95,1,3.44,US,1639890901
Apache Junction,33.4151,-111.5496,57.56,40,1,13.8,US,1639891045
Geraldton,-28.7667,114.6,81.01,44,0,19.57,AU,1639891045
Pisco,-13.7,-76.2167,65.01,82,0,3.44,PE,1639890904
Mahébourg,-20.4081,57.7,86.29,62,20,3.44,MU,1639891046
Necochea,-38.5473,-58.7368,71.04,56,100,17.05,AR,1639891046
Kudahuvadhoo,2.6708,72.8944,81.61,78,100,14.16,MV,1639891046
Elizabeth City,36.2946,-76.2511,69.03,87,20,3.0,US,1639891047
Amboasary,-25.0333,46.3833,71.08,62,100,10.94,MG,1639891047
Itapuranga,-15.5622,-49.9486,69.4,94,100,1.39,BR,1639891047
Douglas,41.3,-96.167,20.5,77,90,1.99,US,1639891047
Yerbogachën,61.2767,108.0108,-38.0,96,61,4.03,RU,1639891047
Weligama,5.9667,80.4167,81.54,77,98,4.83,LK,1639891048
Zhigansk,66.7697,123.3711,-47.0,99,75,6.11,RU,1639890991
Tabou,4.423,-7.3528,79.05,83,76,3.87,CI,1639891048
Visnes,59.3556,5.2242,46.45,71,75,33.38,NO,1639891048
Dunmore Town,25.5,-76.65,77.97,74,100,19.33,BS,1639891048
Neyshabur,36.2133,58.7958,48.56,30,40,0.69,IR,1639891049
Evensk,61.95,159.2333,-13.34,79,99,8.3,RU,1639891041
Barsovo,61.1667,73.1667,-22.99,93,64,9.15,RU,1639891050
Port Hedland,-20.3167,118.5667,111.25,18,11,9.22,AU,1639891050
Esperance,-33.8667,121.9,75.04,51,42,10.22,AU,1639890901
Matagami,49.7502,-77.6328,3.31,72,90,6.91,CA,1639891050
Vanimo,-2.6741,141.3028,86.97,67,31,10.04,PG,1639891051
Belyy Yar,53.6039,91.3903,28.29,71,0,4.47,RU,1639891051
Sola,-13.8833,167.55,82.06,71,74,1.81,VU,1639890754
Baoning,25.3378,110.026,62.46,27,0,2.24,CN,1639891051
Grants,35.1473,-107.8514,12.43,67,1,0.0,US,1639891051
Lüderitz,-26.6481,15.1594,60.3,81,48,5.55,NA,1639891044
Vostok,46.4856,135.8833,4.77,78,64,4.85,RU,1639890977
Sciacca,37.5082,13.0881,46.04,69,2,7.05,IT,1639891052
Nuuk,64.1835,-51.7216,18.72,82,64,6.51,GL,1639891052
Maridi,4.9158,29.4742,73.96,42,93,2.75,SS,1639891052
Souillac,-20.5167,57.5167,86.38,62,20,3.44,MU,1639891041
Katsuura,35.1333,140.3,50.04,52,6,17.65,JP,1639891029
São Félix do Xingu,-6.6447,-51.995,72.55,100,100,1.52,BR,1639891053
Amga,60.8953,131.9608,-29.22,97,99,2.01,RU,1639891053
Chokurdakh,70.6333,147.9167,-39.68,100,82,2.51,RU,1639890828
Brigantine,39.4101,-74.3646,57.0,98,90,4.61,US,1639891054
Florián,5.8049,-73.9703,61.29,93,100,2.77,CO,1639891054
Taoudenni,22.6783,-3.9836,69.21,18,29,9.53,ML,1639891054
Preobrazheniye,42.9019,133.9064,23.16,38,2,9.01,RU,1639891054
Kalga,50.9251,118.898,3.56,90,89,3.33,RU,1639891055
Yulara,-25.2406,130.9889,105.64,7,5,16.11,AU,1639891055
Qena,26.1615,32.7183,42.91,48,0,2.95,EG,1639891055
Guane,22.2025,-84.0875,73.02,91,3,4.5,CU,1639891055
Calama,-22.4667,-68.9333,61.29,31,90,11.5,CL,1639891056
Alofi,-19.0595,-169.9187,82.29,74,21,14.97,NU,1639891056
Perm,58.0174,56.2855,22.46,93,75,4.47,RU,1639891056
Longyearbyen,78.2186,15.6401,22.84,80,20,5.75,SJ,1639890759
Kysyl-Syr,63.8986,122.7617,-38.94,99,96,1.66,RU,1639891056
Udhampur,32.9333,75.1333,55.13,14,51,5.82,IN,1639891057
Oranjemund,-28.55,16.4333,62.73,78,1,5.86,NA,1639891058
George Town,5.4112,100.3354,79.9,85,40,4.61,MY,1639890783
Muzhi,65.3667,64.6667,-25.04,98,100,6.58,RU,1639891059
Taltal,-25.4,-70.4833,64.47,82,100,2.3,CL,1639891059
Buala,-8.145,159.5921,81.97,80,100,5.99,SB,1639891059
Yellowknife,62.456,-114.3525,-23.28,76,20,4.61,CA,1639891060
Bathsheba,13.2167,-59.5167,79.41,78,40,23.02,BB,1639891060
Téra,14.0078,0.7531,64.63,19,2,11.34,NE,1639891060
Huanren,41.2647,125.3667,25.09,46,2,6.51,CN,1639890836
Nishihara,26.1842,127.7558,65.86,52,40,12.66,JP,1639890793
Kampong Chhnang,12.1667,104.55,79.38,58,95,16.58,KH,1639891061
Camocim,-2.9022,-40.8411,79.57,79,42,12.37,BR,1639891061
Poronaysk,49.2167,143.1167,2.17,90,16,5.93,RU,1639891061
Kotel'nich,58.3089,48.348,6.17,98,96,1.63,RU,1639891061
Koulikoro,14.0,-7.75,68.34,21,4,8.99,ML,1639891062
Bac Lieu,9.285,105.7244,83.46,56,100,15.32,VN,1639890903
Tura,25.5198,90.2201,71.1,47,0,3.8,IN,1639891062
Neiva,2.9273,-75.2819,72.14,87,99,2.1,CO,1639891063
Koutsouras,35.0339,25.9469,51.12,71,93,33.42,GR,1639891063
Amapá,1.0,-52.0,70.99,99,96,1.72,BR,1639890827
Whitehorse,60.7161,-135.0538,-12.23,77,90,2.3,CA,1639891063
Fort Nelson,58.8053,-122.7002,-20.61,76,40,3.44,CA,1639891064
Coxim,-18.5067,-54.76,75.06,91,100,2.46,BR,1639891064
Mbini,1.574,9.6134,77.72,87,54,4.52,GQ,1639891064
Srandakan,-7.9386,110.2506,78.73,72,100,7.78,ID,1639891064
Airai,-8.9266,125.4092,73.8,66,95,0.45,TL,1639891065
Baton Rouge,30.4508,-91.1545,62.96,86,1,1.01,US,1639891065
Srednekolymsk,67.45,153.6833,-41.01,99,95,5.64,RU,1639891065
Rāzole,16.4833,81.8333,79.09,44,5,4.88,IN,1639891065
Dingle,10.9995,122.6711,86.14,71,97,9.82,PH,1639890969
Santa Isabel,-23.3156,-46.2214,69.66,88,92,3.56,BR,1639891066
Fukuechō,32.6881,128.8419,50.36,53,75,10.36,JP,1639891066
Katete,-0.7818,29.7544,62.87,93,100,2.46,UG,1639891066
Missoula,47.0166,-113.8009,19.17,79,98,2.15,US,1639891067
Te Anau,-45.4167,167.7167,55.63,95,100,9.01,NZ,1639891067
Padang,-0.9492,100.3543,84.25,82,100,3.67,ID,1639891067
Quetta,30.199,67.0097,52.18,17,1,0.67,PK,1639891067
Ribeira Grande,38.5167,-28.7,60.87,73,100,30.09,PT,1639891068
Constitución,-35.3333,-72.4167,58.03,70,0,8.1,CL,1639890968
Cidreira,-30.1811,-50.2056,70.21,73,91,18.57,BR,1639891068
Caborca,30.5838,-111.101,53.42,36,1,2.3,MX,1639891068
Sitka,57.0531,-135.33,28.29,80,1,4.61,US,1639890898
